序号,行业名称,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
29,自动化设备,91,25996.9,0.94%,131.27,143.02,-11.74
68,化学原料,60,3088.44,-0.62%,47.47,59.26,-11.79
71,化学制品,172,7165.54,-0.74%,133.06,146.08,-13.02
22,证券,50,1712.82,1.39%,165.65,179.52,-13.87
81,生物制品,54,7179.8,-1.21%,49.52,64.64,-15.12
69,塑料制品,75,9694.3,-0.66%,66.19,81.82,-15.64
27,电机,25,3660.77,1.04%,70.8,87.13,-16.33
79,中药,70,3604.36,-1.13%,28.97,45.39,-16.42
13,小金属,26,6588.03,1.92%,129.26,145.7,-16.44
43,环境治理,113,4050.29,0.38%,54.36,70.94,-16.58
23,电子化学品,42,49823.2,1.37%,52.5,70.34,-17.84
31,文化传媒,85,2944.76,0.86%,77.14,95.09,-17.95
59,汽车零部件,253,6815.22,-0.22%,286.22,304.68,-18.46
67,电网设备,137,5688.34,-0.52%,82.02,100.54,-18.52
55,电池,101,18881.7,-0.06%,548.6,567.65,-19.05
17,建筑装饰,151,4183.96,1.68%,62.47,82.5,-20.03
19,军工电子,62,11919.7,1.58%,38.68,59.96,-21.28
16,计算机设备,82,4202.39,1.73%,67.43,92.43,-25.01
49,专用设备,193,7492.6,0.18%,115.66,147.42,-31.76
56,电力,101,1778.75,-0.08%,103.42,135.46,-32.04
2,元件,59,15173.2,7.26%,177.48,209.97,-32.49
42,医疗服务,53,18601.6,0.38%,73.94,107.17,-33.22
72,医疗器械,132,12581.8,-0.79%,76.05,109.91,-33.87
45,光学光电子,107,4816.39,0.31%,102.84,137.42,-34.59
9,通信服务,46,3031.87,2.81%,65.04,101.19,-36.15
8,通信设备,88,7402.6,3.30%,296.78,335.21,-38.43
54,通用设备,249,8681.79,-0.05%,156.8,200.05,-43.25
40,军工装备,81,2234.59,0.46%,109.1,153.86,-44.76
85,化学制药,157,7172.39,-1.67%,159.51,210.95,-51.45
89,光伏设备,75,7663.64,-3.05%,200.78,256.34,-55.56
35,软件开发,139,2431.64,0.82%,172.56,231.59,-59.04
53,消费电子,98,11409.1,-0.04%,217.11,282.91,-65.8
18,IT服务,127,14247.1,1.68%,139.86,210.54,-70.68
6,半导体,163,11095.1,3.89%,396.93,510.52,-113.59
